issueKey,currentProject,classification,targetProject,evidence
RCP-8,RCP,recipe,RCP,summary only: 'Publish Website on Google APi->credentials>audience'; label project:recipe
RCP-9,RCP,recipe,RCP,summary only: 'Polish Logo' — sub-task of RCP-8 Google publish epic; label project:recipe
RCP-10,RCP,recipe,RCP,summary only: 'logo candidates'; labels google-verification + project:recipe
RCP-11,RCP,recipe,RCP,'unblock the Google OAuth verification ... Vegangenius Chef branding'
RCP-12,RCP,recipe,RCP,summary only: 'Terms Of Service' — sub-task of RCP-8 site-publish epic; label project:recipe
RCP-13,RCP,recipe,RCP,'OAuth 2.0 credentials in the Google API Console ... for the website'
RCP-14,RCP,recipe,RCP,'enable the necessary APIs ... required for website publishing and authentication'
RCP-15,RCP,recipe,RCP,'website's authentication flow works correctly using the configured Google API credentials'
RCP-16,RCP,recipe,RCP,'documentation outlining the steps ... Google API credentials and audience'
RCP-17,RCP,recipe,RCP,'Update the website's codebase to use the generated Google API credentials'
RCP-18,RCP,recipe,RCP,'audience field in the Google API credentials to match the website's client ID'
RCP-4,RCP,recipe,RCP,'Login bug ... in order for the view too show their Kitchen/Cookbooks Profile'
RCP-19,RCP,recipe,RCP,'CI pipeline that covers both the Angular frontend and Flask backend'
RCP-2,RCP,recipe,RCP,'first official versioned GitHub Release' for tasteslikegoodtheangularsvegancookbook
RCP-6,RCP,recipe,RCP,'py/path-injection ... recipe_repository.py ... image_service.py'
RCP-32,RCP,recipe,RCP,'server/valkey.ts ... rate limiter distributed state across Express replicas' (GH#162)
RCP-30,RCP,recipe,RCP,'server/valkey.ts ... shutdownValkey() ... rate limiter resilience' (GH#163)
RCP-28,RCP,recipe,RCP,'generate_ai_image() ... Flask request context' in Backend submodule (GH#103)
RCP-27,RCP,recipe,RCP,"'Angular 21 SPA ... GeminiService, AuthService, PersistenceService'"
RCP-25,RCP,recipe,RCP,'Flask backend (Backend/ submodule — tasteslikegood.com)'
RCP-3,RCP,recipe,RCP,"'public, SSR-rendered, zero-fluff recipe site' (v0.2 epic)"
RCP-20,RCP,recipe,RCP,'Add is_public ... and slug ... to Backend/models/recipe.py'
RCP-23,RCP,recipe,RCP,'Save to Cookbook toast notification ... for the SSR templates'
RCP-7,RCP,recipe,RCP,'Schema.org Recipe JSON-LD ... auto-generated /sitemap.xml'
RCP-22,RCP,recipe,RCP,'/r/<slug> for viewing a single public recipe ... update server/proxy.ts'
